ResturantId,ResturantName,ResturantZone,ResturanantAddress,ResturantTiming
10901,Basmati Delights,JP Nagar,"5, 1st Main, 1st Cross, Kothanur Main Road, Puttenahalli, 7th phase, JP Nagar, Bangalore","12noon – 3pm, 7pm – 12midnight (Mon-Sun)"
10902,Rasa Juice Bar,Jayanagar,"19/4, 40th Cross, Opposite SBI ATM, 5th Block, Jayanagar, Bangalore",11:30am – 9:30pm (Mon-Sun)
10903,Serene Restaurant,HSR,"280, 8th Cross, 28th Main, 1st Sector, HSR, Bangalore",12noon – 9pm (Mon-Sun)
10904,Lit Cafe,Jayanagar,"233, 4th Floor, 40th Cross, 9th Main Road, 5th Block, Jayanagar, Bangalore","12noon – 12midnight (Mon-Fri),12noon – 12:30am..."
10905,Sinclair's Barbeque,Bannerghatta Road,"115 A, 5th Cross, Bannerghatta Main Road, Stage 2, Bannerghatta Road, Bangalore","Closed (Mon),11am – 11pm (Tue-Sun)"
10906,Waffle Wallah,BTM,"1, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",7am – 11pm (Mon-Sun)
10907,The Twenty Handmade Chocolates,BTM,"763, 14th Cross, 16th Main, 2nd Stage, MICO Layout Police Station, BTM, Bangalore",8am – 9pm (Mon-Sun)
10908,Roy's Cafe,Banashankari,"272, 4th Floor, Above MAAC, Outer Ring Road, 3rd Phase, Banashankari, Bengaluru",11:30am – 11pm (Mon-Sun)
10909,Super30 Cafe,Bellandur,"4, Naga Reddy Building, Bellandur, Bangalore",10am – 10pm (Mon-Sun)
10910,Udupi Palace,HSR,"17G, 18th Cross, 3rd Sector, HSR, Bangalore",8am – 9:30pm (Mon-Sun)
10911,Sri Bhagya Veg,Bommanahalli,"201/A, Kudlu Main Road, Kudlu Gate, Bommanahalli, Bangalore",6:30am – 10pm (Mon-Sun)
10912,Just Shawarma,BTM,"Shop 943, 16th Main Road, Mico Layout, 2nd Stage, BTM, Bangalore",12noon – 1am (Mon-Sun)
10913,Mr. Gola,"Royal Meenakshi Mall, Bannerghatta Road","3rd Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",11am – 10pm (Mon-Sun)
10914,Rajathadri Palace,Uttarahalli,"103/1 & 103/2, Opp Uttarahalli Lake, Kengeri Main Road, Uttarahalli, Bangalore",7am – 10:30pm (Mon-Sun)
10915,Subway,Electronic City,"43, Oppsite Velanakani Gate 4, Velankani Drive, Phase 1, Electronic City, Bangalore",9am – 11:55pm (Mon-Sun)
